Using device: cpu
Ep.:     10, Loss: 0.493, Avg.Score: -47.26, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.07, Epsilon: 0.1000, Time: 00:00:20
Ep.:     20, Loss: 0.238, Avg.Score: -92.65, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.07, Epsilon: 0.1000, Time: 00:00:45
Ep.:     30, Loss: 0.257, Avg.Score: -80.94, Avg.LenOfSnake: 5.23, Max.LenOfSnake: 6.00, Death Penalty: -1.08, Epsilon: 0.1000, Time: 00:01:10
Ep.:     40, Loss: 0.247, Avg.Score: -127.96, Avg.LenOfSnake: 5.30, Max.LenOfSnake: 6.00, Death Penalty: -1.08, Epsilon: 0.1000, Time: 00:01:37
Ep.:     50, Loss: 0.186, Avg.Score: -129.59, Avg.LenOfSnake: 5.20, Max.LenOfSnake: 7.00, Death Penalty: -1.09, Epsilon: 0.1000, Time: 00:02:05
Ep.:     60, Loss: 0.212, Avg.Score: -124.08, Avg.LenOfSnake: 5.23, Max.LenOfSnake: 6.00, Death Penalty: -1.10, Epsilon: 0.1000, Time: 00:02:32
Ep.:     70, Loss: 0.234, Avg.Score: -111.65, Avg.LenOfSnake: 5.23, Max.LenOfSnake: 6.00, Death Penalty: -1.11, Epsilon: 0.1000, Time: 00:03:00
Ep.:     80, Loss: 0.342, Avg.Score: -103.33, Avg.LenOfSnake: 5.77, Max.LenOfSnake: 8.00, Death Penalty: -1.12, Epsilon: 0.1000, Time: 00:03:27
Ep.:     90, Loss: 0.558, Avg.Score: -53.59, Avg.LenOfSnake: 6.13, Max.LenOfSnake: 9.00, Death Penalty: -1.13, Epsilon: 0.1000, Time: 00:03:55
Ep.:    100, Loss: 0.671, Avg.Score: -65.97, Avg.LenOfSnake: 6.40, Max.LenOfSnake: 10.00, Death Penalty: -1.14, Epsilon: 0.1000, Time: 00:04:23
Ep.:    110, Loss: 0.964, Avg.Score: -1.68, Avg.LenOfSnake: 8.03, Max.LenOfSnake: 16.00, Death Penalty: -1.15, Epsilon: 0.1000, Time: 00:04:51
Ep.:    120, Loss: 1.030, Avg.Score: 134.84, Avg.LenOfSnake: 11.53, Max.LenOfSnake: 20.00, Death Penalty: -1.16, Epsilon: 0.1000, Time: 00:05:19
Ep.:    130, Loss: 0.940, Avg.Score: 197.53, Avg.LenOfSnake: 13.50, Max.LenOfSnake: 22.00, Death Penalty: -1.18, Epsilon: 0.1000, Time: 00:05:48
Ep.:    140, Loss: 0.737, Avg.Score: 215.98, Avg.LenOfSnake: 14.23, Max.LenOfSnake: 24.00, Death Penalty: -1.19, Epsilon: 0.1000, Time: 00:06:18
Ep.:    150, Loss: 0.723, Avg.Score: 275.90, Avg.LenOfSnake: 16.30, Max.LenOfSnake: 28.00, Death Penalty: -1.21, Epsilon: 0.1000, Time: 00:06:50
Ep.:    160, Loss: 0.661, Avg.Score: 274.67, Avg.LenOfSnake: 16.30, Max.LenOfSnake: 31.00, Death Penalty: -1.22, Epsilon: 0.1000, Time: 00:07:22
Ep.:    170, Loss: 0.576, Avg.Score: 432.90, Avg.LenOfSnake: 21.63, Max.LenOfSnake: 33.00, Death Penalty: -1.24, Epsilon: 0.1000, Time: 00:07:56
Ep.:    180, Loss: 0.574, Avg.Score: 384.79, Avg.LenOfSnake: 20.13, Max.LenOfSnake: 38.00, Death Penalty: -1.26, Epsilon: 0.1000, Time: 00:08:32
Ep.:    190, Loss: 0.506, Avg.Score: 397.52, Avg.LenOfSnake: 20.67, Max.LenOfSnake: 32.00, Death Penalty: -1.29, Epsilon: 0.1000, Time: 00:09:07
Ep.:    200, Loss: 0.520, Avg.Score: 364.00, Avg.LenOfSnake: 19.40, Max.LenOfSnake: 31.00, Death Penalty: -1.31, Epsilon: 0.1000, Time: 00:09:44
Ep.:    210, Loss: 0.506, Avg.Score: 447.82, Avg.LenOfSnake: 22.67, Max.LenOfSnake: 33.00, Death Penalty: -1.34, Epsilon: 0.1000, Time: 00:10:21
Ep.:    220, Loss: 0.506, Avg.Score: 466.28, Avg.LenOfSnake: 23.13, Max.LenOfSnake: 36.00, Death Penalty: -1.36, Epsilon: 0.1000, Time: 00:10:59
Ep.:    230, Loss: 0.554, Avg.Score: 410.27, Avg.LenOfSnake: 21.07, Max.LenOfSnake: 37.00, Death Penalty: -1.39, Epsilon: 0.1000, Time: 00:11:38
Ep.:    240, Loss: 0.545, Avg.Score: 477.00, Avg.LenOfSnake: 23.53, Max.LenOfSnake: 48.00, Death Penalty: -1.43, Epsilon: 0.1000, Time: 00:12:17
Ep.:    250, Loss: 0.598, Avg.Score: 428.44, Avg.LenOfSnake: 21.67, Max.LenOfSnake: 36.00, Death Penalty: -1.46, Epsilon: 0.1000, Time: 00:12:57
Ep.:    260, Loss: 0.560, Avg.Score: 511.70, Avg.LenOfSnake: 24.60, Max.LenOfSnake: 39.00, Death Penalty: -1.50, Epsilon: 0.1000, Time: 00:13:38
Ep.:    270, Loss: 0.556, Avg.Score: 506.68, Avg.LenOfSnake: 24.70, Max.LenOfSnake: 37.00, Death Penalty: -1.54, Epsilon: 0.1000, Time: 00:14:19
