Ep.:     10, Loss: nan, Avg.Score: -39.50, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:01 
Ep.:     20, Loss: nan, Avg.Score: -43.30, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:02 
Ep.:     30, Loss: nan, Avg.Score: -39.70, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:03 
Ep.:     40, Loss: nan, Avg.Score: -41.90, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:00:04 
Ep.:     50, Loss: nan, Avg.Score: -37.70, Avg.LenOfSnake: 5.10, Max.LenOfSnake:  7.00 Time: 00:00:05 
Ep.:     60, Loss: nan, Avg.Score: -37.80, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:06 
Ep.:     70, Loss: nan, Avg.Score: -46.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:07 
Ep.:     80, Loss: nan, Avg.Score: -38.00, Avg.LenOfSnake: 5.13, Max.LenOfSnake:  6.00 Time: 00:00:09 
Ep.:     90, Loss: nan, Avg.Score: -42.50, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:10 
Ep.:    100, Loss: nan, Avg.Score: -40.50, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:11 
Ep.:    110, Loss: nan, Avg.Score: -39.30, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:12 
Ep.:    120, Loss: nan, Avg.Score: -40.60, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:13 
Ep.:    130, Loss: nan, Avg.Score: -41.10, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:14 
Ep.:    140, Loss: nan, Avg.Score: -41.70, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:15 
Ep.:    150, Loss: nan, Avg.Score: -41.80, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:16 
Ep.:    160, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:18 
Ep.:    170, Loss: nan, Avg.Score: -41.80, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:19 
Ep.:    180, Loss: nan, Avg.Score: -42.90, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:20 
Ep.:    190, Loss: nan, Avg.Score: -41.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:21 
Ep.:    200, Loss: nan, Avg.Score: -41.90, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:22 
Ep.:    210, Loss: nan, Avg.Score: -42.10, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:23 
Ep.:    220, Loss: nan, Avg.Score: -43.40, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:24 
Ep.:    230, Loss: nan, Avg.Score: -44.30, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:26 
Ep.:    240, Loss: nan, Avg.Score: -43.00, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:27 
Ep.:    250, Loss: nan, Avg.Score: -35.20, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:00:28 
Ep.:    260, Loss: nan, Avg.Score: -38.30, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  7.00 Time: 00:00:29 
Ep.:    270, Loss: nan, Avg.Score: -41.80, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:30 
Ep.:    280, Loss: nan, Avg.Score: -40.60, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:31 
Ep.:    290, Loss: nan, Avg.Score: -42.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:32 
Ep.:    300, Loss: nan, Avg.Score: -40.70, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:00:34 
Ep.:    310, Loss: nan, Avg.Score: -46.20, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:35 
Ep.:    320, Loss: nan, Avg.Score: -42.40, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:36 
